"loan_amount","borrower_income","borrower_race","bank_action"
194000,47000,"W","denied"
292000,138000,"W","approved"
230000,107000,"O","denied"
266000,119000,"W","approved"
295000,124000,"W","approved"
288000,110000,"W","approved"
163000,79000,"W","approved"
304000,215000,"A","approved"
126000,39000,"B","approved"
192000,121000,"W","denied"
308000,111000,"W","approved"
224000,151000,"W","approved"
242000,88000,"B","approved"
199000,70000,"W","denied"
330000,139000,"W","approved"
193000,139000,"W","approved"
231000,64000,"W","approved"
101000,38000,"W","denied"
173000,122000,"W","approved"
64000,38000,"A","approved"
126000,146000,"B","approved"
118000,34000,"W","approved"
190000,36000,"W","approved"
81000,44000,"W","approved"
236000,94000,"W","approved"
238000,80000,"W","approved"
209000,88000,"W","approved"
186000,41000,"W","approved"
176000,56000,"W","approved"
177000,60000,"W","approved"
248000,156000,"W","approved"
255000,71000,"W","approved"
372000,98000,"W","approved"
152000,67000,"W","approved"
245000,77000,"B","approved"
259000,123000,"W","approved"
297000,129000,"W","approved"
125000,32000,"W","approved"
125000,49000,"W","approved"
284000,156000,"A","approved"
150000,65000,"B","denied"
23000,61000,"A","approved"
30000,31000,"W","denied"
228000,134000,"W","approved"
284000,95000,"W","approved"
238000,124000,"W","approved"
149000,142000,"W","approved"
135000,42000,"W","approved"
176000,64000,"O","approved"
147000,90000,"W","denied"
132000,29000,"W","approved"
130000,50000,"B","approved"
106000,25000,"B","denied"
188000,64000,"W","denied"
85000,61000,"W","approved"
35000,42000,"W","approved"
199000,132000,"B","approved"
151000,79000,"W","approved"
229000,90000,"W","approved"
220000,87000,"W","approved"
255000,186000,"W","approved"
139000,131000,"W","approved"
207000,145000,"W","approved"
150000,99000,"W","approved"
140000,51000,"W","approved"
185000,161000,"W","approved"
157000,108000,"W","approved"
266000,63000,"O","approved"
350000,149000,"W","approved"
215000,61000,"W","approved"
3e+05,139000,"W","approved"
185000,169000,"W","approved"
90000,42000,"B","approved"
204000,76000,"W","approved"
184000,1e+05,"W","approved"
161000,87000,"W","approved"
150000,44000,"W","approved"
25000,68000,"W","approved"
337000,120000,"W","approved"
398000,215000,"W","approved"
1e+05,135000,"W","approved"
288000,105000,"W","approved"
560000,206000,"O","denied"
6e+05,1080000,"W","approved"
163000,55000,"W","approved"
125000,62000,"W","denied"
230000,84000,"W","approved"
244000,108000,"W","approved"
176000,82000,"W","approved"
624000,434000,"W","approved"
285000,86000,"W","approved"
284000,67000,"W","approved"
131000,83000,"A","approved"
183000,69000,"W","approved"
166000,86000,"W","approved"
2e+05,53000,"W","approved"
342000,98000,"W","approved"
201000,74000,"W","denied"
192000,117000,"W","approved"
277000,87000,"W","approved"
220000,101000,"W","approved"
279000,72000,"W","approved"
240000,198000,"B","approved"
298000,161000,"W","denied"
416000,161000,"W","denied"
198000,139000,"W","approved"
292000,139000,"W","approved"
10000,72000,"W","approved"
204000,134000,"W","approved"
180000,107000,"W","approved"
145000,107000,"W","approved"
236000,112000,"O","denied"
135000,56000,"W","approved"
184000,86000,"W","approved"
120000,60000,"B","approved"
288000,90000,"B","approved"
349000,110000,"O","approved"
170000,155000,"W","approved"
126000,62000,"B","denied"
220000,89000,"W","denied"
293000,109000,"W","approved"
250000,120000,"W","approved"
109000,83000,"W","approved"
218000,68000,"W","approved"
174000,110000,"W","denied"
155000,67000,"W","approved"
168000,122000,"B","approved"
324000,150000,"W","approved"
103000,24000,"W","approved"
68000,77000,"W","approved"
306000,137000,"W","approved"
188000,78000,"O","approved"
129000,52000,"B","approved"
230000,73000,"W","approved"
228000,81000,"W","approved"
196000,50000,"O","approved"
71000,21000,"W","denied"
205000,79000,"W","approved"
172000,89000,"W","approved"
173000,60000,"W","approved"
178000,91000,"W","approved"
387000,124000,"W","approved"
116000,53000,"W","approved"
171000,53000,"W","denied"
45000,43000,"W","approved"
124000,53000,"W","approved"
180000,50000,"W","approved"
163000,70000,"W","approved"
366000,189000,"W","approved"
60000,41000,"W","approved"
137000,59000,"W","approved"
148000,71000,"W","denied"
147000,47000,"W","approved"
225000,109000,"W","approved"
128000,44000,"B","denied"
127000,43000,"W","denied"
207000,73000,"W","approved"
2e+05,78000,"W","approved"
108000,44000,"W","approved"
266000,97000,"W","denied"
276000,119000,"O","approved"
130000,44000,"W","approved"
66000,44000,"W","approved"
119000,40000,"W","approved"
273000,419000,"W","approved"
88000,43000,"W","approved"
365000,99000,"W","approved"
297000,1e+05,"W","approved"
128000,38000,"W","approved"
1e+05,31000,"W","approved"
105000,33000,"W","approved"
183000,76000,"W","approved"
185000,73000,"W","approved"
326000,106000,"W","approved"
130000,51000,"W","approved"
195000,78000,"W","approved"
454000,126000,"W","denied"
180000,50000,"B","denied"
361000,95000,"W","approved"
153000,65000,"B","approved"
249000,98000,"W","approved"
156000,104000,"W","denied"
90000,84000,"W","approved"
390000,225000,"W","approved"
251000,110000,"W","approved"
147000,70000,"W","approved"
120000,92000,"W","approved"
140000,45000,"W","approved"
4e+05,132000,"W","approved"
172000,69000,"W","approved"
102000,71000,"W","approved"
252000,96000,"W","approved"
236000,135000,"W","approved"
180000,113000,"B","approved"
309000,1e+05,"W","approved"
232000,138000,"W","approved"
112000,42000,"W","approved"
145000,113000,"W","approved"
230000,234000,"W","approved"
204000,70000,"W","approved"
93000,28000,"A","approved"
111000,72000,"W","approved"
232000,88000,"B","approved"
212000,135000,"B","approved"
60000,35000,"W","approved"
186000,54000,"W","approved"
232000,82000,"B","denied"
166000,85000,"W","approved"
312000,145000,"W","approved"
79000,103000,"B","approved"
276000,125000,"W","approved"
260000,84000,"W","approved"
184000,102000,"W","denied"
380000,184000,"W","approved"
3e+05,68000,"W","denied"
202000,59000,"O","approved"
225000,64000,"W","approved"
176000,64000,"W","approved"
359000,109000,"B","approved"
292000,174000,"W","approved"
356000,195000,"W","approved"
452000,128000,"W","approved"
336000,88000,"W","approved"
148000,155000,"W","approved"
293000,88000,"W","approved"
264000,62000,"A","approved"
210000,57000,"W","approved"
75000,32000,"A","approved"
516000,142000,"B","approved"
299000,82000,"B","approved"
404000,188000,"W","approved"
248000,93000,"O","approved"
132000,86000,"W","approved"
258000,72000,"W","approved"
246000,133000,"W","approved"
370000,82000,"W","approved"
62000,38000,"W","approved"
204000,64000,"W","approved"
260000,97000,"W","approved"
248000,70000,"W","approved"
333000,264000,"O","approved"
320000,134000,"W","approved"
120000,35000,"W","denied"
204000,71000,"B","approved"
215000,49000,"W","approved"
92000,48000,"W","approved"
198000,71000,"B","approved"
289000,104000,"W","denied"
225000,66000,"W","approved"
192000,106000,"W","approved"
425000,199000,"W","approved"
150000,86000,"W","denied"
260000,83000,"W","denied"
265000,95000,"W","approved"
238000,83000,"W","approved"
3e+05,138000,"B","approved"
207000,69000,"W","approved"
332000,173000,"W","approved"
163000,117000,"W","approved"
117000,34000,"W","approved"
240000,91000,"W","approved"
105000,38000,"W","denied"
260000,96000,"W","approved"
140000,124000,"W","approved"
94000,169000,"W","approved"
290000,152000,"W","approved"
149000,39000,"O","approved"
95000,28000,"W","approved"
149000,52000,"W","approved"
153000,51000,"B","approved"
296000,203000,"W","approved"
130000,37000,"O","approved"
364000,129000,"B","approved"
2e+05,123000,"W","approved"
2e+05,180000,"W","approved"
182000,103000,"W","approved"
144000,65000,"W","approved"
205000,139000,"W","approved"
331000,73000,"B","approved"
205000,91000,"W","approved"
342000,93000,"W","approved"
208000,69000,"O","approved"
203000,133000,"W","approved"
360000,73000,"W","approved"
88000,81000,"W","approved"
129000,43000,"W","denied"
75000,59000,"W","approved"
375000,138000,"W","denied"
104000,44000,"W","approved"
224000,71000,"W","approved"
252000,88000,"W","denied"
215000,98000,"W","approved"
90000,567000,"W","approved"
199000,72000,"W","approved"
220000,40000,"W","approved"
189000,92000,"A","approved"
288000,71000,"B","approved"
165000,98000,"W","approved"
2e+05,70000,"W","approved"
205000,144000,"W","approved"
2e+05,66000,"B","denied"
326000,74000,"W","approved"
352000,142000,"W","approved"
173000,41000,"W","approved"
280000,75000,"W","approved"
145000,43000,"W","approved"
244000,51000,"W","approved"
186000,58000,"W","approved"
149000,93000,"W","denied"
199000,82000,"W","approved"
405000,136000,"W","denied"
330000,112000,"B","approved"
213000,92000,"W","approved"
175000,55000,"W","approved"
30000,77000,"W","denied"
123000,275000,"W","approved"
146000,47000,"B","approved"
427000,61000,"W","denied"
155000,216000,"W","approved"
131000,99000,"B","approved"
441000,85000,"W","approved"
2e+05,96000,"W","approved"
294000,114000,"W","approved"
120000,38000,"W","approved"
228000,128000,"W","approved"
272000,660000,"W","approved"
224000,130000,"W","approved"
320000,206000,"W","approved"
164000,44000,"W","approved"
136000,50000,"W","approved"
147000,73000,"W","approved"
95000,55000,"B","approved"
352000,255000,"W","approved"
221000,111000,"W","approved"
180000,38000,"W","approved"
218000,108000,"W","approved"
254000,74000,"W","approved"
288000,372000,"A","approved"
65000,46000,"W","approved"
549000,194000,"B","approved"
45000,40000,"W","approved"
36000,372000,"W","denied"
392000,427000,"W","approved"
54000,55000,"W","denied"
214000,53000,"W","approved"
247000,130000,"W","approved"
104000,39000,"W","approved"
144000,97000,"W","approved"
188000,45000,"A","approved"
184000,90000,"B","approved"
2e+05,95000,"W","approved"
224000,119000,"W","approved"
432000,196000,"W","approved"
241000,91000,"W","approved"
101000,44000,"A","approved"
286000,106000,"W","approved"
256000,164000,"W","approved"
390000,230000,"W","approved"
110000,51000,"W","approved"
135000,87000,"W","approved"
239000,133000,"W","approved"
316000,150000,"W","approved"
405000,226000,"W","approved"
292000,25000,"W","approved"
626000,125000,"W","approved"
404000,175000,"B","approved"
305000,115000,"W","approved"
366000,122000,"W","denied"
210000,67000,"W","approved"
2e+05,215000,"W","approved"
298000,1e+05,"W","approved"
150000,61000,"W","approved"
154000,106000,"W","approved"
213000,191000,"W","approved"
185000,92000,"W","approved"
309000,73000,"W","denied"
178000,65000,"W","approved"
268000,62000,"W","approved"
625000,421000,"W","approved"
268000,52000,"W","approved"
243000,69000,"W","approved"
50000,158000,"W","approved"
275000,135000,"W","approved"
285000,78000,"W","approved"
314000,399000,"B","approved"
364000,167000,"W","approved"
246000,60000,"B","approved"
138000,58000,"W","approved"
3e+05,128000,"W","approved"
188000,69000,"W","approved"
318000,75000,"W","approved"
272000,258000,"W","approved"
142000,92000,"B","approved"
61000,38000,"W","approved"
351000,203000,"B","approved"
160000,92000,"W","approved"
191000,60000,"W","approved"
84000,46000,"W","approved"
115000,30000,"O","approved"
175000,57000,"W","approved"
155000,178000,"B","approved"
224000,93000,"W","denied"
160000,94000,"W","approved"
2e+05,377000,"B","approved"
2e+05,44000,"W","approved"
390000,193000,"W","approved"
339000,85000,"W","approved"
190000,75000,"W","denied"
175000,65000,"W","approved"
531000,161000,"A","approved"
280000,136000,"B","approved"
255000,83000,"W","approved"
2e+05,84000,"W","approved"
35000,11000,"W","denied"
150000,76000,"B","approved"
116000,37000,"W","approved"
244000,198000,"W","approved"
240000,87000,"B","approved"
196000,75000,"B","approved"
330000,155000,"W","approved"
403000,143000,"W","approved"
226000,56000,"W","approved"
242000,77000,"W","approved"
166000,54000,"W","approved"
195000,117000,"B","approved"
162000,99000,"B","approved"
310000,96000,"W","approved"
283000,120000,"W","approved"
1e+05,43000,"B","denied"
120000,45000,"O","approved"
168000,232000,"W","approved"
388000,725000,"B","denied"
234000,137000,"W","denied"
74000,77000,"W","approved"
176000,59000,"W","approved"
215000,56000,"A","approved"
140000,42000,"W","approved"
110000,91000,"W","approved"
138000,53000,"O","approved"
195000,111000,"W","approved"
157000,55000,"W","approved"
252000,119000,"W","approved"
396000,140000,"B","approved"
226000,109000,"W","approved"
252000,121000,"W","approved"
256000,70000,"W","approved"
149000,55000,"W","approved"
288000,70000,"W","approved"
156000,85000,"W","approved"
3e+05,323000,"W","approved"
224000,42000,"B","denied"
216000,126000,"W","approved"
318000,87000,"W","approved"
238000,56000,"W","approved"
432000,207000,"W","approved"
163000,171000,"W","approved"
350000,154000,"W","approved"
368000,106000,"W","approved"
120000,35000,"W","approved"
180000,77000,"W","approved"
172000,58000,"B","approved"
228000,112000,"W","approved"
133000,81000,"W","approved"
353000,138000,"W","approved"
270000,113000,"W","denied"
140000,54000,"W","approved"
150000,22000,"W","approved"
122000,112000,"W","approved"
90000,56000,"W","denied"
180000,82000,"W","approved"
270000,79000,"W","approved"
234000,177000,"W","approved"
261000,69000,"W","approved"
3e+05,173000,"W","approved"
220000,75000,"W","approved"
75000,61000,"A","denied"
30000,40000,"W","approved"
10000,26000,"W","approved"
150000,144000,"W","approved"
30000,35000,"B","approved"
140000,82000,"W","approved"
50000,49000,"W","approved"
50000,49000,"W","approved"
205000,90000,"W","denied"
268000,51000,"W","approved"
276000,155000,"W","approved"
18000,136000,"O","approved"
320000,181000,"W","approved"
247000,92000,"W","approved"
158000,135000,"W","approved"
114000,142000,"W","approved"
378000,225000,"W","approved"
208000,57000,"W","approved"
315000,89000,"W","approved"
315000,79000,"B","approved"
105000,43000,"A","approved"
215000,94000,"B","approved"
140000,50000,"B","approved"
371000,153000,"B","approved"
170000,206000,"B","approved"
328000,112000,"W","approved"
350000,71000,"B","approved"
350000,71000,"W","denied"
116000,84000,"W","approved"
106000,105000,"W","approved"
1e+05,25000,"W","approved"
138000,158000,"O","approved"
125000,30000,"W","approved"
175000,38000,"W","approved"
145000,76000,"W","approved"
165000,42000,"B","approved"
140000,82000,"W","approved"
208000,192000,"B","approved"
244000,73000,"W","approved"
3e+05,98000,"B","approved"
2e+05,70000,"W","approved"
523000,180000,"B","approved"
330000,74000,"W","approved"
213000,68000,"W","denied"
140000,59000,"W","approved"
304000,51000,"W","approved"
161000,38000,"W","denied"
117000,27000,"W","approved"
148000,44000,"B","approved"
116000,40000,"W","approved"
205000,94000,"W","approved"
153000,72000,"W","approved"
270000,96000,"W","approved"
140000,39000,"W","denied"
131000,53000,"W","denied"
371000,95000,"W","approved"
280000,119000,"W","approved"
224000,76000,"W","approved"
214000,66000,"W","denied"
154000,90000,"W","approved"
272000,57000,"W","approved"
312000,150000,"W","approved"
145000,60000,"W","approved"
344000,88000,"W","denied"
216000,98000,"W","approved"
210000,108000,"W","approved"
267000,92000,"W","approved"
251000,82000,"W","approved"
186000,48000,"A","approved"
409000,144000,"A","denied"
228000,66000,"W","approved"
465000,2e+05,"W","approved"
1e+05,24000,"W","approved"
306000,127000,"W","approved"
197000,80000,"W","approved"
119000,38000,"W","approved"
157000,58000,"W","approved"
2e+05,61000,"W","approved"
163000,70000,"W","approved"
210000,121000,"W","approved"
135000,41000,"W","approved"
156000,83000,"B","approved"
309000,109000,"B","denied"
323000,242000,"W","approved"
279000,96000,"W","approved"
130000,40000,"W","approved"
275000,82000,"W","approved"
309000,109000,"A","approved"
146000,82000,"W","approved"
297000,222000,"W","approved"
26000,79000,"W","approved"
282000,124000,"W","approved"
133000,82000,"W","approved"
50000,30000,"W","denied"
345000,126000,"W","denied"
185000,46000,"W","denied"
52000,36000,"W","approved"
28000,46000,"W","approved"
124000,91000,"W","approved"
89000,28000,"W","approved"
118000,167000,"W","approved"
168000,105000,"W","approved"
180000,33000,"W","approved"
214000,92000,"W","approved"
205000,86000,"W","approved"
246000,60000,"W","approved"
253000,62000,"W","approved"
275000,138000,"W","approved"
174000,50000,"W","approved"
254000,121000,"W","approved"
434000,136000,"W","approved"
388000,88000,"W","approved"
148000,47000,"W","approved"
415000,481000,"W","approved"
189000,70000,"W","approved"
184000,37000,"O","approved"
550000,236000,"W","approved"
152000,47000,"B","approved"
396000,130000,"W","approved"
449000,245000,"W","approved"
78000,78000,"W","denied"
188000,60000,"B","approved"
336000,89000,"W","approved"
140000,91000,"W","approved"
412000,123000,"W","approved"
253000,147000,"W","approved"
184000,74000,"W","approved"
243000,186000,"W","approved"
245000,218000,"W","denied"
246000,151000,"W","approved"
204000,88000,"B","approved"
396000,350000,"W","approved"
280000,108000,"B","approved"
295000,135000,"B","approved"
371000,98000,"W","approved"
103000,95000,"W","approved"
510000,295000,"W","denied"
235000,53000,"W","approved"
282000,80000,"W","approved"
180000,52000,"W","approved"
176000,63000,"B","approved"
96000,22000,"W","denied"
248000,99000,"W","approved"
170000,62000,"B","denied"
474000,180000,"W","approved"
326000,80000,"B","approved"
228000,98000,"W","approved"
203000,69000,"W","approved"
269000,77000,"W","approved"
185000,90000,"W","approved"
104000,39000,"W","approved"
306000,137000,"W","approved"
172000,89000,"W","denied"
185000,51000,"W","approved"
150000,34000,"W","approved"
208000,159000,"B","approved"
208000,83000,"B","denied"
142000,89000,"W","approved"
220000,55000,"B","denied"
137000,62000,"W","approved"
214000,116000,"W","approved"
250000,128000,"W","approved"
262000,83000,"W","denied"
1e+05,141000,"W","approved"
214000,101000,"W","approved"
210000,81000,"W","approved"
190000,155000,"W","approved"
172000,55000,"B","denied"
97000,47000,"W","approved"
269000,334000,"W","approved"
160000,73000,"W","approved"
232000,126000,"W","denied"
245000,98000,"W","approved"
230000,77000,"W","approved"
208000,47000,"W","approved"
346000,118000,"B","approved"
169000,47000,"W","approved"
160000,59000,"B","approved"
3e+05,132000,"W","approved"
219000,103000,"W","denied"
185000,79000,"W","approved"
120000,136000,"W","denied"
1e+05,38000,"W","approved"
252000,82000,"W","approved"
225000,97000,"O","denied"
78000,19000,"W","approved"
128000,35000,"B","approved"
308000,224000,"W","approved"
193000,65000,"B","approved"
1e+05,32000,"W","approved"
110000,36000,"B","approved"
188000,81000,"W","approved"
134000,36000,"B","approved"
217000,82000,"W","approved"
113000,41000,"W","approved"
149000,119000,"W","approved"
239000,62000,"W","approved"
396000,182000,"W","approved"
259000,70000,"W","approved"
176000,148000,"B","approved"
139000,45000,"W","approved"
247000,52000,"W","approved"
130000,40000,"B","denied"
1650000,470000,"W","approved"
102000,127000,"W","approved"
226000,172000,"B","approved"
75000,73000,"W","approved"
72000,103000,"B","approved"
160000,40000,"W","approved"
79000,55000,"W","approved"
126000,71000,"B","approved"
63000,58000,"W","approved"
283000,120000,"A","approved"
2e+05,35000,"W","approved"
332000,101000,"W","approved"
252000,123000,"W","approved"
35000,91000,"W","approved"
212000,54000,"W","denied"
108000,122000,"B","approved"
190000,89000,"A","approved"
198000,293000,"A","approved"
212000,70000,"W","approved"
54000,37000,"W","approved"
135000,37000,"A","approved"
192000,61000,"W","approved"
212000,56000,"W","approved"
197000,62000,"W","approved"
192000,73000,"W","approved"
194000,74000,"W","approved"
212000,89000,"B","approved"
237000,135000,"W","approved"
254000,57000,"W","approved"
549000,133000,"W","approved"
91000,53000,"A","approved"
428000,138000,"W","approved"
210000,103000,"W","approved"
504000,185000,"B","approved"
